# Test three evolutionary algorithms and benchmark the best
# ROI: RouletteWheel,	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOI: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Inversion Mutation(p=1.0)
# TOS: Tournament(k=popSize/3),	OrderCrossOver(p=1.0),	Swap Mutation(p=1.0
# Notes: Results for PR2392 and USA13509 will come at the end because of long time of running.
# Notes: Results are in CSV format

# Compare three algorithms with varying population sizes
AlgoName,FileName,PopSize,Gen,Cost
ROI,testfiles/kroC100.tsp,50,0,148089.41980275017
ROI,testfiles/kroC100.tsp,50,2000,82062.81437632616
ROI,testfiles/kroC100.tsp,50,5000,66049.10869437979
ROI,testfiles/kroC100.tsp,50,10000,53182.68445390616
ROI,testfiles/kroC100.tsp,50,20000,41338.44357991135
TOI,testfiles/kroC100.tsp,50,0,148959.97169875097
TOI,testfiles/kroC100.tsp,50,2000,54919.328302209906
TOI,testfiles/kroC100.tsp,50,5000,37960.77685721779
TOI,testfiles/kroC100.tsp,50,10000,30499.3746513323
TOI,testfiles/kroC100.tsp,50,20000,24475.738315332637
TOS,testfiles/kroC100.tsp,50,0,147988.26570250952
TOS,testfiles/kroC100.tsp,50,2000,65594.39340715924
TOS,testfiles/kroC100.tsp,50,5000,51619.546466855536
TOS,testfiles/kroC100.tsp,50,10000,45151.13756705791
TOS,testfiles/kroC100.tsp,50,20000,42158.19181088996
ROI,testfiles/kroC100.tsp,100,0,145401.9940340099
ROI,testfiles/kroC100.tsp,100,2000,87723.19064542174
ROI,testfiles/kroC100.tsp,100,5000,76917.09409574608
ROI,testfiles/kroC100.tsp,100,10000,62418.7235508249
ROI,testfiles/kroC100.tsp,100,20000,49877.71051517721
TOI,testfiles/kroC100.tsp,100,0,153470.1659243791
TOI,testfiles/kroC100.tsp,100,2000,49792.81377364143
TOI,testfiles/kroC100.tsp,100,5000,36577.00089980347
TOI,testfiles/kroC100.tsp,100,10000,29616.67061309467
TOI,testfiles/kroC100.tsp,100,20000,23917.75398664065
TOS,testfiles/kroC100.tsp,100,0,151392.1806997973
TOS,testfiles/kroC100.tsp,100,2000,60246.92702340412
TOS,testfiles/kroC100.tsp,100,5000,48099.87488939367
TOS,testfiles/kroC100.tsp,100,10000,41827.98754892317
TOS,testfiles/kroC100.tsp,100,20000,38912.590638296366
ROI,testfiles/kroC100.tsp,200,0,148553.64303512537
ROI,testfiles/kroC100.tsp,200,2000,102047.30288385467
ROI,testfiles/kroC100.tsp,200,5000,88597.10184408928
ROI,testfiles/kroC100.tsp,200,10000,77097.3312394629
ROI,testfiles/kroC100.tsp,200,20000,58863.50770880946
TOI,testfiles/kroC100.tsp,200,0,149021.90379422653
TOI,testfiles/kroC100.tsp,200,2000,46638.94284718554
TOI,testfiles/kroC100.tsp,200,5000,33147.38330001561
TOI,testfiles/kroC100.tsp,200,10000,26131.21050163978
TOI,testfiles/kroC100.tsp,200,20000,22748.72552082355
TOS,testfiles/kroC100.tsp,200,0,147823.31925231873
TOS,testfiles/kroC100.tsp,200,2000,56734.007702068644
TOS,testfiles/kroC100.tsp,200,5000,47791.35135719066
TOS,testfiles/kroC100.tsp,200,10000,42039.2742694778
TOS,testfiles/kroC100.tsp,200,20000,39295.68321484596
ROI,testfiles/kroD100.tsp,20,0,148272.66098767723
ROI,testfiles/kroD100.tsp,20,2000,61387.74153919488
ROI,testfiles/kroD100.tsp,20,5000,52451.48442881211
ROI,testfiles/kroD100.tsp,20,10000,41825.04753458665
ROI,testfiles/kroD100.tsp,20,20000,29062.677516359745
TOI,testfiles/kroD100.tsp,20,0,149881.87489286283
TOI,testfiles/kroD100.tsp,20,2000,51501.18597767479
TOI,testfiles/kroD100.tsp,20,5000,35451.99879732798
TOI,testfiles/kroD100.tsp,20,10000,28706.28550889244
TOI,testfiles/kroD100.tsp,20,20000,25028.98628851253
TOS,testfiles/kroD100.tsp,20,0,145820.64116972612
TOS,testfiles/kroD100.tsp,20,2000,62757.47185076547
TOS,testfiles/kroD100.tsp,20,5000,52086.990793882316
TOS,testfiles/kroD100.tsp,20,10000,42812.47163623282
TOS,testfiles/kroD100.tsp,20,20000,38478.31431006993
ROI,testfiles/kroD100.tsp,50,0,144679.80329941478
ROI,testfiles/kroD100.tsp,50,2000,74093.37095412116
ROI,testfiles/kroD100.tsp,50,5000,60486.886862420484
ROI,testfiles/kroD100.tsp,50,10000,54340.028890389294
ROI,testfiles/kroD100.tsp,50,20000,43694.47009138443
TOI,testfiles/kroD100.tsp,50,0,145738.58431111497
TOI,testfiles/kroD100.tsp,50,2000,50459.36561131621
TOI,testfiles/kroD100.tsp,50,5000,34843.75924033756
TOI,testfiles/kroD100.tsp,50,10000,26446.375265441617
TOI,testfiles/kroD100.tsp,50,20000,24107.915806964782
TOS,testfiles/kroD100.tsp,50,0,141501.99455055126
TOS,testfiles/kroD100.tsp,50,2000,63675.06746183571
TOS,testfiles/kroD100.tsp,50,5000,53625.680077224526
TOS,testfiles/kroD100.tsp,50,10000,49342.13936742228
TOS,testfiles/kroD100.tsp,50,20000,43352.73920215533
ROI,testfiles/kroD100.tsp,100,0,143444.42450474587
ROI,testfiles/kroD100.tsp,100,2000,77230.15246669031
ROI,testfiles/kroD100.tsp,100,5000,65554.22524507002
ROI,testfiles/kroD100.tsp,100,10000,56705.832862306204
ROI,testfiles/kroD100.tsp,100,20000,47040.66529694084
TOI,testfiles/kroD100.tsp,100,0,143052.14738894146
TOI,testfiles/kroD100.tsp,100,2000,50626.362588207914
TOI,testfiles/kroD100.tsp,100,5000,39303.19297792614
TOI,testfiles/kroD100.tsp,100,10000,26083.569107727977
TOI,testfiles/kroD100.tsp,100,20000,23336.696875202866
TOS,testfiles/kroD100.tsp,100,0,146053.79183844067
TOS,testfiles/kroD100.tsp,100,2000,62469.154658708605
TOS,testfiles/kroD100.tsp,100,5000,49877.82768964301
TOS,testfiles/kroD100.tsp,100,10000,40391.718328619325
TOS,testfiles/kroD100.tsp,100,20000,36970.69229191274
ROI,testfiles/kroD100.tsp,200,0,144458.21723027847
ROI,testfiles/kroD100.tsp,200,2000,102337.32592803151
ROI,testfiles/kroD100.tsp,200,5000,81583.85887950237
ROI,testfiles/kroD100.tsp,200,10000,71381.62757544119
ROI,testfiles/kroD100.tsp,200,20000,61892.869028322995
TOI,testfiles/kroD100.tsp,200,0,140384.7479456393
TOI,testfiles/kroD100.tsp,200,2000,47733.7118617191
TOI,testfiles/kroD100.tsp,200,5000,31564.43968170077
TOI,testfiles/kroD100.tsp,200,10000,25929.604181583196
TOI,testfiles/kroD100.tsp,200,20000,23700.19304405707
TOS,testfiles/kroD100.tsp,200,0,143587.44028003255
TOS,testfiles/kroD100.tsp,200,2000,59903.39416732956
TOS,testfiles/kroD100.tsp,200,5000,49421.96270339255
